country,city,perform,latitude,longitude,ip
Germany,None,Ban,51.2993,9.491,185.220.102.246
Germany,None,Found,51.2993,9.491,185.220.102.242
Germany,None,Ban,51.2993,9.491,185.220.102.242
Norway,None,Found,59.9452,10.7559,217.170.205.14
Norway,None,Ban,59.9452,10.7559,217.170.205.14
Germany,None,Found,51.2993,9.491,185.220.101.206
Germany,None,Ban,51.2993,9.491,185.220.101.206
India,New Delhi,Found,28.6327,77.2198,144.168.164.26
India,New Delhi,Ban,28.6327,77.2198,144.168.164.26
Germany,None,Found,51.2993,9.491,185.220.101.203
Germany,None,Ban,51.2993,9.491,185.220.101.203
France,Montrouge,Found,48.8175,2.3167,95.128.43.164
France,Montrouge,Ban,48.8175,2.3167,95.128.43.164
