date,action,server_port,message,ssh,perform,ip,asn,network_provider,domain,route,type,calling_code,city,continent_code,continent,country_code,country,is_eu,latitude,longitude,postal,region,region_code,is_tor,is_proxy,is_anonymous,is_known_attacker,is_known_abuser,is_threat,is_bogon,status
2020-10-04 13:44:58.480,filter,519,INFO,sshd,Found,51.91.116.150,AS16276,OVH SAS,ovh.com,51.91.0.0/16,hosting,33,None,EU,Europe,FR,France,True,48.8582,2.3387,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 13:44:58.515,actions,519,NOTICE,sshd,Ban,51.91.116.150,AS16276,OVH SAS,ovh.com,51.91.0.0/16,hosting,33,None,EU,Europe,FR,France,True,48.8582,2.3387,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 13:45:00.164,filter,519,INFO,sshd,Found,51.91.116.150,AS16276,OVH SAS,ovh.com,51.91.0.0/16,hosting,33,None,EU,Europe,FR,France,True,48.8582,2.3387,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 13:50:25.038,actions,519,NOTICE,sshd,Unban,195.54.160.183, None, None, None, None, None,7,None,EU,Europe,RU,Russia,False,55.7386,37.6068,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 14:33:22.685,filter,519,INFO,sshd,Found,51.77.231.236,AS16276,OVH SAS,ovh.com,51.77.0.0/16,hosting,33,None,EU,Europe,FR,France,True,48.8582,2.3387,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 14:33:22.902,actions,519,NOTICE,sshd,Ban,51.77.231.236,AS16276,OVH SAS,ovh.com,51.77.0.0/16,hosting,33,None,EU,Europe,FR,France,True,48.8582,2.3387,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 14:33:25.394,filter,519,INFO,sshd,Found,51.77.231.236,AS16276,OVH SAS,ovh.com,51.77.0.0/16,hosting,33,None,EU,Europe,FR,France,True,48.8582,2.3387,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 14:33:25.527,actions,519,NOTICE,sshd,already banned,51.77.231.236,AS16276,OVH SAS,ovh.com,51.77.0.0/16,hosting,33,None,EU,Europe,FR,France,True,48.8582,2.3387,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 15:01:33.486,filter,519,INFO,sshd,Found,104.248.241.234,AS14061,DigitalOcean,digitalocean.com,104.248.240.0/20,hosting,49,Frankfurt am Main,EU,Europe,DE,Germany,True,50.1188,8.6843,60313,Hesse,HE,False,False,False,False,False,False,False,200
2020-10-04 15:01:33.936,actions,519,NOTICE,sshd,Ban,104.248.241.234,AS14061,DigitalOcean,digitalocean.com,104.248.240.0/20,hosting,49,Frankfurt am Main,EU,Europe,DE,Germany,True,50.1188,8.6843,60313,Hesse,HE,False,False,False,False,False,False,False,200
2020-10-04 15:01:35.092,filter,519,INFO,sshd,Found,104.248.241.234,AS14061,DigitalOcean,digitalocean.com,104.248.240.0/20,hosting,49,Frankfurt am Main,EU,Europe,DE,Germany,True,50.1188,8.6843,60313,Hesse,HE,False,False,False,False,False,False,False,200
2020-10-04 15:03:43.349,actions,519,NOTICE,sshd,Unban,81.7.10.115,AS35366,ISPpro Internet KG,isppro.de,81.7.0.0/19,hosting,49,None,EU,Europe,DE,Germany,True,51.2993,9.491,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 15:08:23.979,filter,519,INFO,sshd,Found,178.128.247.181,AS14061,DigitalOcean,digitalocean.com,178.128.240.0/20,hosting,31,Amsterdam,EU,Europe,NL,Netherlands,True,52.352,4.9392,1098,North Holland,NH,False,False,False,False,False,False,False,200
2020-10-04 15:08:24.088,actions,519,NOTICE,sshd,Ban,178.128.247.181,AS14061,DigitalOcean,digitalocean.com,178.128.240.0/20,hosting,31,Amsterdam,EU,Europe,NL,Netherlands,True,52.352,4.9392,1098,North Holland,NH,False,False,False,False,False,False,False,200
2020-10-04 15:08:25.586,filter,519,INFO,sshd,Found,178.128.247.181,AS14061,DigitalOcean,digitalocean.com,178.128.240.0/20,hosting,31,Amsterdam,EU,Europe,NL,Netherlands,True,52.352,4.9392,1098,North Holland,NH,False,False,False,False,False,False,False,200
