is_anonymous,is_bogon,is_known_abuser,is_known_attacker,is_proxy,is_threat,is_tor,ip,datetime
1,1,1,1,1,1,1,222.186.180.8,2020-09-18 09:22:42.259
1,1,1,1,1,1,1,222.186.180.8,2020-09-18 09:22:42.785
1,1,1,1,1,1,1,222.186.180.8,2020-09-18 09:22:44.221
1,1,1,1,1,1,1,222.186.175.217,2020-09-18 09:23:44.916
1,1,1,1,1,1,1,222.186.175.167,2020-09-18 09:32:56.634
1,1,1,1,1,1,1,222.186.175.167,2020-09-18 09:32:56.915
1,1,1,1,1,1,1,222.186.175.167,2020-09-18 09:32:58.273
1,1,1,1,1,1,1,218.92.0.224,2020-09-18 09:36:27.696
1,1,1,1,1,1,1,218.92.0.224,2020-09-18 09:36:27.877
1,1,1,1,1,1,1,218.92.0.224,2020-09-18 09:36:29.759
1,1,1,1,1,1,1,222.186.180.223,2020-09-18 09:39:34.704
1,1,1,1,1,1,1,222.186.180.223,2020-09-18 09:39:34.764
1,1,1,1,1,1,1,222.186.180.223,2020-09-18 09:39:36.314
1,1,1,1,1,1,1,67.209.185.37,2020-09-18 09:42:02.150
1,1,1,1,1,1,1,67.209.185.37,2020-09-18 09:42:02.169
1,1,1,1,1,1,1,67.209.185.37,2020-09-18 09:42:02.196
1,1,1,1,1,1,1,67.209.185.37,2020-09-18 09:42:04.050
1,1,1,1,1,1,1,61.177.172.61,2020-09-18 09:43:11.064
1,1,1,1,1,1,1,61.177.172.61,2020-09-18 09:43:11.522
1,1,1,1,1,1,1,61.177.172.61,2020-09-18 09:43:12.756
1,1,1,1,1,1,1,222.186.173.226,2020-09-18 09:44:51.670
1,1,1,1,1,1,1,222.186.175.148,2020-09-18 09:47:53.937
1,1,1,1,1,1,1,218.92.0.158,2020-09-18 09:53:39.877
1,1,1,1,1,1,1,218.92.0.158,2020-09-18 09:53:40.407
1,1,1,1,1,1,1,218.92.0.158,2020-09-18 09:53:41.767
1,1,1,1,1,1,1,112.85.42.172,2020-09-18 09:59:08.616
1,1,1,1,1,1,1,112.85.42.172,2020-09-18 09:59:08.873
1,1,1,1,1,1,1,112.85.42.172,2020-09-18 09:59:10.689
1,1,1,1,1,1,1,218.92.0.145,2020-09-18 10:01:29.101
1,1,1,1,1,1,1,122.227.159.84,2020-09-18 10:01:35.149
1,1,1,1,1,1,1,128.199.3.235,2020-09-18 10:03:33.322
1,1,1,1,1,1,1,222.186.175.148,2020-09-18 10:03:43.631
1,1,1,1,1,1,1,222.186.175.148,2020-09-18 10:03:43.974
1,1,1,1,1,1,1,222.186.175.148,2020-09-18 10:03:46.339
1,1,1,1,1,1,1,61.177.172.128,2020-09-18 10:05:44.163
1,1,1,1,1,1,1,222.186.190.2,2020-09-18 10:08:58.446
1,1,1,1,1,1,1,45.116.112.22,2020-09-18 10:10:36.600
1,1,1,1,1,1,1,222.186.180.17,2020-09-18 10:12:32.770
1,1,1,1,1,1,1,14.152.49.218,2020-09-18 10:13:08.392
1,1,1,1,1,1,1,14.152.49.218,2020-09-18 10:13:08.832
1,1,1,1,1,1,1,14.152.49.218,2020-09-18 10:13:10.113
1,1,1,1,1,1,1,49.235.195.249,2020-09-18 10:16:45.130
1,1,1,1,1,1,1,210.21.226.2,2020-09-18 10:18:30.128
1,1,1,1,1,1,1,210.21.226.2,2020-09-18 10:18:30.135
1,1,1,1,1,1,1,210.21.226.2,2020-09-18 10:18:30.521
1,1,1,1,1,1,1,210.21.226.2,2020-09-18 10:18:32.067
1,1,1,1,1,1,1,81.68.85.195,2020-09-18 10:20:28.714
1,1,1,1,1,1,1,222.186.175.216,2020-09-18 10:20:59.157
1,1,1,1,1,1,1,222.186.175.216,2020-09-18 10:20:59.381
