date_1,action,server_port,message,ssh,perform,ip,date_2
"2020-10-02 12:23:39,544",actions,519,NOTICE,sshd,Unban,36.33.24.141,
"2020-10-02 12:23:51,581",actions,519,NOTICE,sshd,Unban,113.53.33.1,
"2020-10-02 12:24:22,526",filter,519,INFO,sshd,Found,46.101.43.224,10/2/2020 12:24
"2020-10-02 12:24:22,843",actions,519,NOTICE,sshd,Ban,46.101.43.224,
"2020-10-02 12:24:24,562",filter,519,INFO,sshd,Found,46.101.43.224,10/2/2020 12:24
"2020-10-02 12:24:47,299",filter,519,INFO,sshd,Found,107.170.2.119,10/2/2020 12:24
"2020-10-02 12:24:47,311",filter,519,INFO,sshd,Found,107.170.2.119,10/2/2020 12:24
"2020-10-02 12:24:47,507",actions,519,NOTICE,sshd,Ban,107.170.2.119,
"2020-10-02 12:24:48,437",filter,519,INFO,sshd,Found,107.170.2.119,10/2/2020 12:24
"2020-10-02 12:28:37,868",actions,519,NOTICE,sshd,Unban,137.74.219.112,
"2020-10-02 12:28:45,958",actions,519,NOTICE,sshd,Unban,189.100.146.24,
"2020-10-02 12:30:48,019",filter,519,INFO,sshd,Found,119.29.161.236,10/2/2020 12:30
"2020-10-02 12:30:48,020",filter,519,INFO,sshd,Found,119.29.161.236,10/2/2020 12:30
"2020-10-02 12:30:48,174",actions,519,NOTICE,sshd,Ban,119.29.161.236,
"2020-10-02 12:30:50,031",filter,519,INFO,sshd,Found,119.29.161.236,10/2/2020 12:30
"2020-10-02 12:30:50,220",actions,519,NOTICE,sshd,already banned,119.29.161.236,
"2020-10-02 12:31:39,716",filter,519,INFO,sshd,Found,190.121.5.210,10/2/2020 12:31
"2020-10-02 12:31:39,716",filter,519,INFO,sshd,Found,190.121.5.210,10/2/2020 12:31
"2020-10-02 12:31:40,299",actions,519,NOTICE,sshd,Ban,190.121.5.210,
"2020-10-02 12:31:42,428",filter,519,INFO,sshd,Found,190.121.5.210,10/2/2020 12:31
"2020-10-02 12:31:42,538",actions,519,NOTICE,sshd,already banned,190.121.5.210,
"2020-10-02 12:32:02,384",actions,519,NOTICE,sshd,Unban,49.88.112.73,
"2020-10-02 12:33:07,375",filter,519,INFO,sshd,Found,49.88.112.73,10/2/2020 12:33
"2020-10-02 12:33:07,722",actions,519,NOTICE,sshd,Ban,49.88.112.73,
"2020-10-02 12:33:08,989",filter,519,INFO,sshd,Found,49.88.112.73,10/2/2020 12:33
"2020-10-02 12:35:02,882",filter,519,INFO,sshd,Found,142.93.241.19,10/2/2020 12:35
"2020-10-02 12:35:02,932",filter,519,INFO,sshd,Found,142.93.241.19,10/2/2020 12:35
"2020-10-02 12:35:03,154",actions,519,NOTICE,sshd,Ban,142.93.241.19,
"2020-10-02 12:35:04,789",filter,519,INFO,sshd,Found,142.93.241.19,10/2/2020 12:35
"2020-10-02 12:35:17,408",filter,519,INFO,sshd,Found,128.199.128.215,10/2/2020 12:35
"2020-10-02 12:35:17,411",actions,519,NOTICE,sshd,Ban,128.199.128.215,
